Image,MOS,if_test
bag_gQP_1_tQP_1.ply,86.69456186,0
bag_gQP_1_tQP_2.ply,76.14530845,0
bag_gQP_1_tQP_3.ply,52.85558429,0
bag_gQP_2_tQP_1.ply,52.1814527,0
bag_gQP_2_tQP_2.ply,49.31511353,0
bag_gQP_2_tQP_3.ply,39.10736912,0
bag_gQP_3_tQP_1.ply,27.44033309,0
bag_gQP_3_tQP_2.ply,32.01772343,0
bag_gQP_3_tQP_3.ply,29.61486469,0
bag_gsigma_0_tsigma_16.ply,86.24911138,0
bag_gsigma_0_tsigma_32.ply,62.11964039,0
bag_gsigma_0_tsigma_8.ply,88.78171897,0
bag_gsigma_2_tsigma_16.ply,49.36475509,0
bag_gsigma_2_tsigma_32.ply,43.75380957,0
bag_gsigma_2_tsigma_8.ply,56.92145553,0
bag_gsigma_4_tsigma_16.ply,21.98784769,0
bag_gsigma_4_tsigma_32.ply,22.43616482,0
bag_gsigma_4_tsigma_8.ply,22.37620413,0
bag_level_7.ply,9.59532456,0
bag_level_8.ply,18.23796415,0
bag_level_9.ply,82.74107891,0
bag_pqs_1_qs_16_rounded.ply,90.340738,0
bag_pqs_1_qs_32_rounded.ply,81.83884571,0
bag_pqs_1_qs_48_rounded.ply,58.43553789,0
bag_pqs_1_qs_64_rounded.ply,62.55491922,0
bag_tsl_4_tqs_128.ply,62.21628821,0
bag_tsl_4_tqs_256.ply,36.26609788,0
bag_tsl_4_tqs_512.ply,20.84981283,0
bag_tsl_4_tqs_64.ply,67.09168867,0
bag_tsl_6_tqs_128.ply,48.88989054,0
bag_tsl_6_tqs_256.ply,40.2873935,0
bag_tsl_6_tqs_512.ply,24.60106839,0
bag_tsl_6_tqs_64.ply,58.51287376,0
bag_tsl_8_tqs_128.ply,80.66164159,0
bag_tsl_8_tqs_256.ply,60.38564447,0
bag_tsl_8_tqs_512.ply,34.95747094,0
bag_tsl_8_tqs_64.ply,90.36817669,0
biscuits_gQP_1_tQP_1.ply,80.64772987,0
biscuits_gQP_1_tQP_2.ply,69.66364063,0
biscuits_gQP_1_tQP_3.ply,55.29057762,0
biscuits_gQP_2_tQP_1.ply,68.13405141,0
biscuits_gQP_2_tQP_2.ply,65.29075052,0
biscuits_gQP_2_tQP_3.ply,53.1133493,0
biscuits_gQP_3_tQP_1.ply,67.14806687,0
biscuits_gQP_3_tQP_2.ply,54.19129873,0
biscuits_gQP_3_tQP_3.ply,45.67685542,0
biscuits_gsigma_0_tsigma_16.ply,70.89991405,0
biscuits_gsigma_0_tsigma_32.ply,40.47262999,0
biscuits_gsigma_0_tsigma_8.ply,82.28266671,0
biscuits_gsigma_2_tsigma_16.ply,55.54540274,0
biscuits_gsigma_2_tsigma_32.ply,37.85852516,0
biscuits_gsigma_2_tsigma_8.ply,60.93076647,0
biscuits_gsigma_4_tsigma_16.ply,43.1335575,0
biscuits_gsigma_4_tsigma_32.ply,25.37935374,0
biscuits_gsigma_4_tsigma_8.ply,46.58815205,0
biscuits_level_7.ply,6.910472714,0
biscuits_level_8.ply,26.07829319,0
biscuits_level_9.ply,78.90662046,0
biscuits_pqs_1_qs_16_rounded.ply,85.08186966,0
biscuits_pqs_1_qs_32_rounded.ply,74.44788099,0
biscuits_pqs_1_qs_48_rounded.ply,40.20381716,0
biscuits_pqs_1_qs_64_rounded.ply,24.03115802,0
biscuits_tsl_4_tqs_128.ply,20.56426096,0
biscuits_tsl_4_tqs_256.ply,17.38710508,0
biscuits_tsl_4_tqs_512.ply,11.29893963,0
biscuits_tsl_4_tqs_64.ply,18.04515443,0
biscuits_tsl_6_tqs_128.ply,68.95568291,0
biscuits_tsl_6_tqs_256.ply,46.84884777,0
biscuits_tsl_6_tqs_512.ply,27.49479604,0
biscuits_tsl_6_tqs_64.ply,83.00914582,0
biscuits_tsl_8_tqs_128.ply,71.1781634,0
biscuits_tsl_8_tqs_256.ply,50.5576824,0
biscuits_tsl_8_tqs_512.ply,24.26462774,0
biscuits_tsl_8_tqs_64.ply,81.60694704,0
cake_gQP_1_tQP_1.ply,80.20526502,0
cake_gQP_1_tQP_2.ply,71.92097573,0
cake_gQP_1_tQP_3.ply,53.38313209,0
cake_gQP_2_tQP_1.ply,55.79723355,0
cake_gQP_2_tQP_2.ply,51.11284661,0
cake_gQP_2_tQP_3.ply,49.40907712,0
cake_gQP_3_tQP_1.ply,27.03674282,0
cake_gQP_3_tQP_2.ply,25.93804334,0
cake_gQP_3_tQP_3.ply,25.63802684,0
cake_gsigma_0_tsigma_16.ply,68.48543238,0
cake_gsigma_0_tsigma_32.ply,44.28105151,0
cake_gsigma_0_tsigma_8.ply,82.3590312,0
cake_gsigma_2_tsigma_16.ply,58.68613346,0
cake_gsigma_2_tsigma_32.ply,40.58216881,0
cake_gsigma_2_tsigma_8.ply,67.14183949,0
cake_gsigma_4_tsigma_16.ply,45.00850006,0
cake_gsigma_4_tsigma_32.ply,33.58645616,0
cake_gsigma_4_tsigma_8.ply,50.02089902,0
cake_level_7.ply,7.770366309,0
cake_level_8.ply,17.08593154,0
cake_level_9.ply,64.34512167,0
cake_pqs_1_qs_16_rounded.ply,90.78201527,0
cake_pqs_1_qs_32_rounded.ply,62.31185039,0
cake_pqs_1_qs_48_rounded.ply,34.56216851,0
cake_pqs_1_qs_64_rounded.ply,24.85902515,0
cake_tsl_4_tqs_128.ply,71.41920062,0
cake_tsl_4_tqs_256.ply,53.06015189,0
cake_tsl_4_tqs_512.ply,21.54060176,0
cake_tsl_4_tqs_64.ply,83.76018893,0
cake_tsl_6_tqs_128.ply,79.74237911,0
cake_tsl_6_tqs_256.ply,51.50226832,0
cake_tsl_6_tqs_512.ply,27.39548212,0
cake_tsl_6_tqs_64.ply,82.75849407,0
cake_tsl_8_tqs_128.ply,83.19207028,0
cake_tsl_8_tqs_256.ply,62.14575182,0
cake_tsl_8_tqs_512.ply,32.96552511,0
cake_tsl_8_tqs_64.ply,90.65408252,0
flowerpot_gQP_1_tQP_1.ply,77.9924891,0
flowerpot_gQP_1_tQP_2.ply,70.82967664,0
flowerpot_gQP_1_tQP_3.ply,56.33702042,0
flowerpot_gQP_2_tQP_1.ply,61.47860246,0
flowerpot_gQP_2_tQP_2.ply,54.35333863,0
flowerpot_gQP_2_tQP_3.ply,37.97715453,0
flowerpot_gQP_3_tQP_1.ply,30.83918671,0
flowerpot_gQP_3_tQP_2.ply,28.31674627,0
